serialdata,SnCode,result,costrattime
C4033010243316243,C4033010243316243,OK,2023-08-10 08:48:55.196456
C4033010243316243,C4033010243316243,continue,2023-08-10 08:48:58.834556
C4033010243316243,没找到数据,NG,2023-08-10 08:57:51.900903
C4033010243316243,C4033010243316243,continue,2023-08-10 08:58:08.340608
C4033010243316243,C4033010243316243,continue,2023-08-10 08:58:14.292847
N4052684587513185,N4052684587513185,OK,2023-08-10 08:58:55.373716
N4052684587513185,未识别到合适数据,continue,2023-08-10 08:59:25.502494
C4033010243316243,C4033010243316243,OK,2023-08-10 09:02:14.222660
C4033010243316243,C4033010243316243,continue,2023-08-10 09:02:31.394384
C4033010243316243,C4033010243316243,continue,2023-08-10 09:02:34.803320
C4033010243316243,C4033010243316243,continue,2023-08-10 09:02:39.678361
C4033010243316243,C4033010243316243,continue,2023-08-10 09:02:57.760099
C4033010243316243,C4033010243316243,continue,2023-08-10 09:03:01.634611
C4033010243316243,C4033010243316243,OK,2023-08-10 09:14:05.683163
N4052684587513185,C4033010243316243,NG,2023-08-10 09:15:13.720396
C4033010243316243,C4033010243316243,OK,2023-08-10 09:15:26.672184
C4033010243316243,C4033010243316243,OK,2023-08-10 09:24:14.576748
B4103335774816053,B413335774816053,NG,2023-08-21 13:11:17.889230
B4103335774816053,B4103335774816053,OK,2023-08-21 13:12:54.070481
B4103335774816053, B4103335774816053,NG,2023-08-21 13:13:57.544112
B4103335774816053,B4103335774816053,OK,2023-08-21 13:19:07.047995
B4103335772016053,B4103335772016053,OK,2023-08-21 13:19:16.364112
B4103335774816053,B4103335774816053,OK,2023-08-21 13:19:36.559054
B4103335772016053,B4103335772016053,OK,2023-08-21 13:19:54.251816
B4103335774816053,B4103335774816053,OK,2023-08-21 13:20:15.087983
B4103335817516058,B4103335817516058,OK,2023-08-21 13:20:20.721541
B4103335772016053,未识别到合适数据,NG,2023-08-21 13:20:27.288393
B4103335774816053,B4103335774816053,OK,2023-08-21 13:20:36.811637
B4103335844516058,B4103335844516058,OK,2023-08-21 13:36:20.919030
B4103335843916051,B4103335843916051,OK,2023-08-21 13:36:28.698100
B4103335844516058,B4103335844516058,OK,2023-08-21 13:37:12.704913
B4103335844516058,B4103335844516058,OK,2023-08-21 13:39:11.727125
B4103335844716050,B4103335844716050,OK,2023-08-21 13:40:44.730209
B4103335746016054,未识别到合适数据,NG,2023-08-23 15:03:55.003858
B4103335747816053,16955-00-01SNB4103335747816053,NG,2023-08-23 15:05:02.751513
B4103335747816053,6955-00-01SN:B4103335747816053,NG,2023-08-23 15:06:52.838674
B4103335747816053,TE:16955-00-01SN:,NG,2023-08-23 15:14:31.895403
B4103335747816053,B4103335747816053,OK,2023-08-23 15:19:25.931564
B4103335746016054,1SN84183335748188,NG,2023-08-23 15:20:50.610062
B4103335747816053,B4103335747816053,OK,2023-08-23 15:25:36.682148
B4103335746016054,B4103335746016054,OK,2023-08-23 15:26:13.595518
B4103335747816053,B4103335747816053,OK,2023-08-23 15:26:28.843508
B4103335747816053,B4103335747816053,OK,2023-08-29 14:59:06.016757
B4103335746016054,B4103335746016054,OK,2023-08-29 14:59:33.518245
B4103335747816053,未识别到合适数据,NG,2023-08-29 15:00:12.209310
B4103335746016054,B4103335746016054,OK,2023-08-29 15:00:31.141330
B4103335746016054,B410333746016054,NG,2023-08-29 15:09:13.645575
B4103335747816053,未识别到合适数据,NG,2023-08-29 15:09:34.582962
B4103335746016054,B4103335746016054,OK,2023-08-29 15:10:40.576569
B4103335747816053,B4103335747816053,OK,2023-08-29 15:11:21.568394
B4103335746016054,B4103335746016054,OK,2023-08-29 15:11:31.257968
B4103335747816053,未识别到合适数据,NG,2023-08-29 15:11:37.880314
B4103335747816053,(A)Rating:3V/10m-,NG,2023-08-29 15:36:19.862395
B4103335746016054,3A)Rating:3V/10mA,NG,2023-08-29 15:37:22.228561
B4103335746016054,3(A)Rating:3V10mA,NG,2023-08-29 15:40:34.178088
B4103335746016054,A)Rating:3V/10m==,NG,2023-08-29 15:45:57.561390
B4103335747816053,B4103335747816053,OK,2023-08-29 16:13:14.424624
B4103335746016054,B4103335746016054,OK,2023-08-29 16:13:53.331163
B4103335747816053,B4103335747816053,OK,2023-08-29 16:14:12.905027
B4103335746016054,B4103335746016054,OK,2023-08-29 16:14:38.245124
B4103335747816053,8410333574781805,NG,2023-08-29 16:14:54.874814
B4103335746016054,8410333574601605,NG,2023-08-29 16:15:11.778882
